epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,335.784,0.75095,0.09153,0.11122,0.50671,1.12567,0.80464,0.97822,0.95676,0.69091,0.80464,0.97822,0.95676,0.95676,1.06766,0.05165,0.01864,0.63183,1.53398,0.000951857,0.000951857,0.000951857
67,340.674,0.78489,0.11222,0.10513,0.52461,1.14981,0.82505,0.98025,0.96075,0.71122,0.82505,0.98025,0.96075,0.96075,1.01866,0.05289,0.01117,0.59467,1.51471,0.000940855,0.000940855,0.000940855
68,346.164,0.7963,0.1135,0.10572,0.53806,1.16935,0.88925,0.87688,0.94468,0.69843,0.88925,0.87688,0.94468,0.94468,0.99254,0.05276,0.01235,0.61248,1.4791,0.000929853,0.000929853,0.000929853
69,350.76,0.7827,0.09884,0.11539,0.56728,1.14865,0.92579,0.8476,0.93212,0.70901,0.92579,0.8476,0.93212,0.93212,0.9346,0.04882,0.00759,0.68644,1.46022,0.00091885,0.00091885,0.00091885
70,356.016,0.83093,0.09138,0.10937,0.53457,1.18392,0.86116,0.90872,0.95733,0.71559,0.86116,0.90872,0.95733,0.95733,0.96578,0.05765,0.00478,0.61378,1.5226,0.000907848,0.000907848,0.000907848
71,361.089,0.80283,0.09156,0.09155,0.53232,1.14826,0.79981,0.9727,0.94888,0.70758,0.79981,0.9727,0.94888,0.94888,0.98308,0.05513,0.00451,0.64763,1.52425,0.000896846,0.000896846,0.000896846
72,365.61,0.82261,0.1054,0.09476,0.55501,1.17956,0.85116,0.88234,0.93919,0.70717,0.85116,0.88234,0.93919,0.93919,0.99889,0.04445,0.00515,0.68408,1.51116,0.000885844,0.000885844,0.000885844
73,371.26,0.7513,0.08802,0.10919,0.52373,1.11968,0.91184,0.86111,0.91043,0.67093,0.91184,0.86111,0.91043,0.91043,1.00766,0.08359,0.00606,0.70097,1.54412,0.000874842,0.000874842,0.000874842
74,376.004,0.7937,0.09405,0.096,0.53382,1.16354,0.81524,0.96189,0.94615,0.69465,0.81524,0.96189,0.94615,0.94615,0.99257,0.06826,0.00998,0.6368,1.49732,0.000863839,0.000863839,0.000863839
75,380.541,0.77126,0.09596,0.10921,0.50478,1.15659,0.85804,0.91481,0.91452,0.66317,0.85804,0.91481,0.91452,0.91452,1.01502,0.05616,0.01715,0.65105,1.45762,0.000852837,0.000852837,0.000852837
76,386.393,0.7517,0.10144,0.09886,0.51714,1.12284,0.8831,0.88786,0.9641,0.69277,0.8831,0.88786,0.9641,0.9641,1.06666,0.05807,0.02027,0.59462,1.51851,0.000841835,0.000841835,0.000841835
77,390.907,0.83119,0.09253,0.08946,0.55629,1.18343,0.85112,0.93988,0.96705,0.69492,0.85112,0.93988,0.96705,0.96705,1.05295,0.04964,0.01536,0.61486,1.55966,0.000830833,0.000830833,0.000830833
78,395.421,0.78583,0.09353,0.11997,0.51128,1.13713,0.94117,0.88584,0.96552,0.69037,0.94117,0.88584,0.96552,0.96552,1.09613,0.05025,0.00935,0.5767,1.5662,0.000819831,0.000819831,0.000819831
79,401.187,0.7197,0.09404,0.09693,0.5019,1.09779,0.89373,0.93481,0.97497,0.71466,0.89373,0.93481,0.97497,0.97497,1.06963,0.06765,0.0112,0.57662,1.58509,0.000808828,0.000808828,0.000808828
80,405.771,0.74244,0.09712,0.08114,0.52373,1.11231,0.81356,0.87209,0.93368,0.65843,0.81356,0.87209,0.93368,0.93368,1.08296,0.05041,0.00828,0.80589,1.63347,0.000797826,0.000797826,0.000797826
81,410.293,0.80206,0.09379,0.08411,0.52572,1.15434,0.86156,0.97526,0.97416,0.71629,0.86156,0.97526,0.97416,0.97416,1.0585,0.07398,0.01115,0.55249,1.57266,0.000786824,0.000786824,0.000786824
82,416.112,0.72758,0.10306,0.10416,0.50402,1.11483,0.83014,0.91095,0.95316,0.70648,0.83014,0.91095,0.95316,0.95316,1.02778,0.06292,0.01926,0.77525,1.52132,0.000775822,0.000775822,0.000775822
83,420.673,0.72859,0.08591,0.09559,0.49149,1.10341,0.90558,0.94444,0.95876,0.70145,0.90558,0.94444,0.95876,0.95876,1.03709,0.05437,0.02068,0.52294,1.56942,0.00076482,0.00076482,0.00076482
84,425.236,0.7479,0.09249,0.10402,0.49767,1.14145,0.90235,0.94444,0.95501,0.69648,0.90235,0.94444,0.95501,0.95501,1.01867,0.0603,0.01321,0.54981,1.5327,0.000753817,0.000753817,0.000753817
85,431.025,0.78438,0.08221,0.10612,0.51145,1.16514,0.86334,0.96547,0.96083,0.69874,0.86334,0.96547,0.96083,0.96083,1.00887,0.05366,0.00843,0.5388,1.49751,0.000742815,0.000742815,0.000742815
86,435.676,0.71722,0.0939,0.09128,0.51056,1.09198,0.87606,0.86333,0.95432,0.68991,0.87606,0.86333,0.95432,0.95432,1.03066,0.07638,0.00549,0.68701,1.53827,0.000731813,0.000731813,0.000731813
87,440.416,0.75659,0.09464,0.11455,0.51454,1.15268,0.88593,0.87528,0.9387,0.68834,0.88593,0.87528,0.9387,0.9387,1.00645,0.04412,0.00793,0.62997,1.50819,0.000720811,0.000720811,0.000720811
88,445.829,0.74601,0.09361,0.09393,0.52131,1.13514,0.94297,0.86505,0.9586,0.6987,0.94297,0.86505,0.9586,0.9586,1.02939,0.05163,0.01033,0.56813,1.53879,0.000709809,0.000709809,0.000709809
89,450.316,0.71815,0.08557,0.10397,0.4746,1.11187,0.89864,0.95581,0.95842,0.70059,0.89864,0.95581,0.95842,0.95842,1.00809,0.07162,0.00481,0.51922,1.53573,0.000698806,0.000698806,0.000698806
90,455.327,0.74235,0.08852,0.07644,0.48317,1.12162,0.92236,0.9005,0.96212,0.70133,0.92236,0.9005,0.96212,0.96212,1.00971,0.04741,0.00525,0.51501,1.55363,0.000687804,0.000687804,0.000687804
91,460.58,0.72805,0.08062,0.0925,0.48762,1.11096,0.94937,0.95871,0.97113,0.69984,0.94937,0.95871,0.97113,0.97113,1.009,0.05127,0.00936,0.48178,1.56377,0.000676802,0.000676802,0.000676802
92,465.138,0.7156,0.08371,0.08728,0.48567,1.10729,0.87563,0.97222,0.97967,0.71074,0.87563,0.97222,0.97967,0.97967,1.02205,0.04149,0.01342,0.54302,1.56253,0.0006658,0.0006658,0.0006658
93,470.345,0.7365,0.09337,0.08504,0.47404,1.12092,0.88834,0.94414,0.97954,0.71089,0.88834,0.94414,0.97954,0.97954,1.01631,0.04574,0.01207,0.55579,1.56656,0.000654798,0.000654798,0.000654798
94,475.38,0.71153,0.08587,0.097,0.47565,1.11021,0.85624,0.96402,0.97861,0.71202,0.85624,0.96402,0.97861,0.97861,1.0268,0.04856,0.00992,0.62892,1.57329,0.000643795,0.000643795,0.000643795
95,479.874,0.71256,0.08159,0.08495,0.45926,1.10414,0.90515,0.97222,0.97619,0.71013,0.90515,0.97222,0.97619,0.97619,1.03873,0.05759,0.01185,0.53892,1.59009,0.000632793,0.000632793,0.000632793
96,485.383,0.67417,0.10008,0.08041,0.43336,1.09954,0.8797,0.93097,0.94055,0.68468,0.8797,0.93097,0.94055,0.94055,1.02753,0.04996,0.01743,0.59553,1.53101,0.000621791,0.000621791,0.000621791
97,490.272,0.68571,0.09065,0.07903,0.43162,1.08912,0.87374,0.92674,0.91913,0.66581,0.87374,0.92674,0.91913,0.91913,1.0476,0.05448,0.01035,0.63355,1.54768,0.000610789,0.000610789,0.000610789
